log_id,timestamp,error_type,severity,module,environment,user_id,response_time_ms,message,ip_address
4038,,Network Timeout,med,api-gateway,DEV,,99999,Error in module at line 63: File Not Found,192.168.92.207
3549,04-May-2024 18:26:00,Network Timeout,P2,api-gateway,dev,,N/A,Error in module at line 166: System Crash,10.0.210.255
3828,02-Mar-2024 22:30:00,Network Timeout,CRITICAL,api-gateway,staging,2365,-1,Error in module at line 128: Network Timeout,
1301,01/25/2024 04:26,Authentication Failure,Medium,,production,4806,-1,Error in module at line 385: Performance Degradation,0.0.0.0
1486,11/20/2024 21:45,Authentication Failure,High,auth-service,prod,6591,N/A,Error in module at line 157: API Timeout,INVALID_IP
3589,15-Dec-2024 17:31:00,Authentication Failure,high,user-dashboard,DEV,3787,48.08,Error in module at line 342: Memory Leak,10.0.12.225
3235,2024-06-10 22:05:00,Authentication Failure,med,notification-service,dev,,99999,Error in module at line 301: Network Timeout,
2478,1715501640.0,File Not Found,P1,notification-service,DEV,,,Error in module at line 166: Database Connection Error,INVALID_IP
3212,2024-02-16 03:53:00,File Not Found,P1,auth-service,dev,2897,N/A,Error in module at line 195: Permission Denied,INVALID_IP
4704,2024-10-17 03:07:00,Authentication Failure,high,database-manager,staging,UNKNOWN,99999,Error in module at line 126: Authentication Failure,10.0.151.155
906,08/02/2024 23:27,API Timeout,Critical,user-dashboard,,,,Error in module at line 67: System Crash,192.168.92.22
3070,1721471580.0,Permission Denied,P1,notification-service,prod,USR-8313,N/A,Error in module at line 276: Memory Leak,0.0.0.0
4940,,API Timeout,Medium,user-dashboard,development,,N/A,Error in module at line 55: Memory Leak,0.0.0.0
626,1714913820.0,Performance Degradation,CRITICAL,notification-service,PRODUCTION,USR-3057,0,Error in module at line 309: UI Glitch,10.0.121.190
1977,1705720500.0,Memory Leak,,,DEV,UNKNOWN,99999,Error in module at line 5: Permission Denied,0.0.0.0
3696,1708052580.0,Performance Degradation,P2,database-manager,staging,,-1,Error in module at line 324: Memory Leak,10.0.14.194
1535,28-Feb-2024 05:46:00,UI Glitch,P3,notification-service,staging,8921,1520,Error in module at line 472: File Not Found,10.0.70.56
2643,,Performance Degradation,P2,database-manager,dev,,4608.24,Error in module at line 348: Performance Degradation,192.168.236.205
4847,2024-02-20 19:44:00,Network Timeout,P1,database-manager,stg,,N/A,Error in module at line 75: Authentication Failure,192.168.57.5
3107,1704986580.0,Permission Denied,P3,api-gateway,PRODUCTION,UNKNOWN,N/A,Error in module at line 415: Network Timeout,0.0.0.0
793,1705562640.0,File Not Found,P4,api-gateway,DEV,UNKNOWN,-1,Error in module at line 121: Authentication Failure,INVALID_IP
4101,2024-07-31 13:26:00,UI Glitch,med,user-dashboard,DEV,9012,3904.94,Error in module at line 391: Database Connection Error,INVALID_IP
2771,2024-07-16 17:23:00,Authentication Failure,P4,payment-gateway,prod,USR-5296,270.65,Error in module at line 316: Memory Leak,0.0.0.0
3759,08/01/2024 03:24,Performance Degradation,Critical,user-dashboard,production,,2025.72,Error in module at line 404: Permission Denied,
1077,,Memory Leak,CRITICAL,file-storage,prod,,99999,Error in module at line 306: System Crash,
1736,,API Timeout,P1,api-gateway,,USR-7634,,Error in module at line 490: File Not Found,
3398,06/11/2024 14:15,Authentication Failure,Critical,notification-service,,6867,N/A,Error in module at line 270: System Crash,
1000,,Permission Denied,LOW,auth-service,,UNKNOWN,99999,Error in module at line 462: API Timeout,0.0.0.0
3046,,Database Connection Error,High,auth-service,development,,N/A,Error in module at line 45: Database Connection Error,
1961,2024-10-11 22:14:00,Performance Degradation,Medium,database-manager,staging,USR-7585,N/A,Error in module at line 399: Authentication Failure,
4242,1711523280.0,Network Timeout,P3,payment-gateway,dev,,N/A,Error in module at line 363: Database Connection Error,192.168.238.6
4778,2024-05-17 13:35:00,Database Connection Error,High,file-storage,DEV,,,Error in module at line 452: Performance Degradation,INVALID_IP
592,1730199600.0,Network Timeout,Critical,,prod,UNKNOWN,N/A,Error in module at line 268: Database Connection Error,0.0.0.0
2069,,Memory Leak,P3,api-gateway,development,UNKNOWN,-1,Error in module at line 224: UI Glitch,192.168.16.204
4293,1716244860.0,Permission Denied,P3,auth-service,production,USR-1238,0,Error in module at line 337: Performance Degradation,10.0.153.24
4444,,Database Connection Error,med,api-gateway,PRODUCTION,,N/A,Error in module at line 194: Network Timeout,10.0.131.235
111,1721411220.0,Memory Leak,LOW,payment-gateway,DEV,UNKNOWN,0,Error in module at line 237: Network Timeout,INVALID_IP
4477,1704966120.0,Database Connection Error,LOW,database-manager,stg,USR-7515,4359,Error in module at line 17: Database Connection Error,192.168.13.253
949,1704686760.0,UI Glitch,high,auth-service,prod,USR-8284,99999,Error in module at line 293: System Crash,INVALID_IP
1515,,Authentication Failure,High,database-manager,stg,,-1,Error in module at line 191: Database Connection Error,
2146,1719910920.0,Memory Leak,CRITICAL,user-dashboard,Staging,,,Error in module at line 499: Authentication Failure,10.0.55.141
1761,2024-01-01 19:49:00,UI Glitch,LOW,user-dashboard,Staging,USR-9211,-1,Error in module at line 320: System Crash,192.168.174.29
3480,1710976440.0,UI Glitch,LOW,payment-gateway,prod,UNKNOWN,N/A,Error in module at line 9: API Timeout,192.168.200.96
2860,,API Timeout,Low,payment-gateway,dev,,1088.22,Error in module at line 395: Memory Leak,192.168.221.114
29,2024-02-13 21:54:00,Database Connection Error,P4,database-manager,production,UNKNOWN,N/A,Error in module at line 213: Authentication Failure,0.0.0.0
