ticket_id,customer_id,order_id,issue_type,description,priority,status,created_date,resolved_date,agent
1,340,3983,Return,Product arrived damaged,Unknown,Open,2023-08-23 00:00:00,,Agent_Smith
2,185,7427,Return,Charged twice for order,High,Unknown,2024-10-30 00:00:00,2024-11-10 00:00:00,Unassigned
3,1891,5480,Technical,Want to return product,High,Resolved,2024-11-09 00:00:00,,Agent_Smith
4,1179,4016,Technical,Wrong item received,Medium,Unknown,2024-05-30 00:00:00,2024-06-06 00:00:00,Unassigned
5,1595,2612,Delivery,Product arrived damaged,High,Open,2023-05-21 00:00:00,,Agent_Smith
6,2707,1420,Billing,Cannot login to account,Low,In Progress,2023-03-14 00:00:00,,Agent_Brown
7,696,1466,Delivery,Want to return product,Unknown,In Progress,2024-09-16 00:00:00,,Agent_Jones
8,1560,7517,Delivery,,High,Unknown,2024-12-02 00:00:00,2024-12-16 00:00:00,Agent_Jones
9,1098,5915,Billing,App crashing on checkout,High,Open,2023-12-06 00:00:00,2023-12-16 00:00:00,Unassigned
10,532,3607,Return,App crashing on checkout,High,Open,2024-12-15 00:00:00,2024-12-22 00:00:00,Agent_Smith
11,1675,6830,Product Defect,Product arrived damaged,Low,Open,2023-03-02 00:00:00,,Agent_Brown
12,694,1939,Account,Cannot login to account,Medium,Open,2023-01-04 00:00:00,2023-01-08 00:00:00,Agent_Jones
13,2798,5978,Unknown,Want to return product,Medium,Resolved,2023-03-23 00:00:00,2023-04-05 00:00:00,Unassigned
14,615,843,Account,Want to return product,Medium,In Progress,2024-02-17 00:00:00,2024-02-17 00:00:00,Agent_Brown
15,24,6413,Return,Want to return product,Low,Resolved,2024-08-29 00:00:00,,Unassigned
16,265,3856,Delivery,,Medium,Open,2024-01-11 00:00:00,2024-01-24 00:00:00,Agent_Brown
17,1241,1151,Delivery,Want to return product,High,Closed,2024-01-02 00:00:00,2024-01-05 00:00:00,Unassigned
18,1176,1554,Product Defect,Cannot login to account,Low,Unknown,2023-06-26 00:00:00,,Agent_Jones
19,1841,2891,Technical,App crashing on checkout,High,In Progress,2024-09-21 00:00:00,2024-09-22 00:00:00,Unassigned
20,2775,3712,Billing,Charged twice for order,Low,Open,2023-04-24 00:00:00,,Agent_Smith
21,48,7122,Account,Want to return product,Medium,Open,2024-03-15 00:00:00,2024-03-23 00:00:00,Agent_Smith
22,2911,6744,Product Defect,Want to return product,Low,In Progress,2023-01-25 00:00:00,,Unassigned
23,62,7895,Billing,App crashing on checkout,High,Open,2023-10-24 00:00:00,2023-11-02 00:00:00,Agent_Brown
24,1996,6811,Product Defect,Wrong item received,High,Open,2023-12-26 00:00:00,2024-01-09 00:00:00,Unassigned
25,263,648,Technical,,High,In Progress,2023-10-16 00:00:00,2023-10-24 00:00:00,Unassigned
26,156,7130,Technical,Want to return product,Unknown,In Progress,2024-10-26 00:00:00,2024-10-31 00:00:00,Unassigned
27,2223,3507,Technical,Product arrived damaged,Low,In Progress,2024-09-06 00:00:00,2024-09-14 00:00:00,Agent_Jones
28,2176,5626,Billing,Cannot login to account,High,Closed,2023-10-24 00:00:00,2023-10-28 00:00:00,Agent_Brown
29,1749,7586,Technical,Wrong item received,High,In Progress,2024-09-07 00:00:00,,Agent_Brown
30,671,1808,Account,Charged twice for order,High,Open,2024-05-25 00:00:00,,Agent_Jones
31,1260,1771,Return,Charged twice for order,Medium,Resolved,2024-10-01 00:00:00,2024-10-11 00:00:00,Unassigned
32,1884,3564,Unknown,Want to return product,High,Open,2023-02-25 00:00:00,2023-03-02 00:00:00,Unassigned
33,1991,7143,Return,Wrong item received,Low,Open,2024-07-11 00:00:00,,Unassigned
34,2231,5514,Delivery,Wrong item received,Low,Open,2023-12-31 00:00:00,2024-01-07 00:00:00,Agent_Smith
35,596,7475,Delivery,,Medium,Open,2024-05-25 00:00:00,2024-06-06 00:00:00,Unassigned
36,1890,3013,Billing,,High,Closed,2024-04-13 00:00:00,2024-04-20 00:00:00,Unassigned
37,2756,2342,Product Defect,Wrong item received,Medium,Resolved,2023-10-30 00:00:00,2023-11-05 00:00:00,Agent_Smith
38,2564,3783,Product Defect,Want to return product,Medium,Unknown,2024-01-25 00:00:00,,Unassigned
39,2711,3046,Billing,App crashing on checkout,Medium,Resolved,2024-10-18 00:00:00,,Unassigned
40,527,2834,Product Defect,,Low,Open,2023-06-06 00:00:00,2023-06-09 00:00:00,Unassigned
41,2312,354,Product Defect,App crashing on checkout,High,In Progress,2024-12-14 00:00:00,2024-12-28 00:00:00,Unassigned
42,1216,2644,Product Defect,,Low,In Progress,2024-03-05 00:00:00,2024-03-15 00:00:00,Unassigned
43,564,6000,Product Defect,,Medium,Resolved,2024-05-21 00:00:00,2024-05-23 00:00:00,Unassigned
44,2546,5072,Return,Charged twice for order,Unknown,Open,2024-04-16 00:00:00,,Unassigned
45,147,1979,Billing,,High,Open,2024-01-11 00:00:00,2024-01-22 00:00:00,Unassigned
46,2317,433,Product Defect,,Medium,Unknown,2024-08-20 00:00:00,2024-09-03 00:00:00,Agent_Smith
47,578,3789,Billing,Product arrived damaged,Low,In Progress,2024-01-24 00:00:00,2024-01-26 00:00:00,Agent_Brown
48,1986,4061,Product Defect,Product arrived damaged,Medium,Closed,2024-03-29 00:00:00,2024-04-08 00:00:00,Unassigned
49,604,2216,Billing,Cannot login to account,Medium,In Progress,2024-09-23 00:00:00,2024-10-06 00:00:00,Agent_Jones
50,1096,1328,Return,Cannot login to account,Low,Open,2024-05-16 00:00:00,2024-05-26 00:00:00,Agent_Brown
51,2524,1603,Delivery,Charged twice for order,Low,Resolved,2023-12-30 00:00:00,2024-01-02 00:00:00,Agent_Smith
52,625,2962,Billing,,Medium,Resolved,2023-12-07 00:00:00,,Agent_Smith
53,468,7419,Technical,Want to return product,Low,In Progress,2024-07-29 00:00:00,2024-08-07 00:00:00,Agent_Brown
54,1360,6198,Billing,,Low,Resolved,2024-05-30 00:00:00,2024-05-31 00:00:00,Agent_Jones
55,818,46,Account,Charged twice for order,Medium,Resolved,2023-08-22 00:00:00,2023-09-02 00:00:00,Unassigned
56,246,4387,Product Defect,Product arrived damaged,Medium,Open,2024-11-02 00:00:00,,Unassigned
57,1206,2036,Account,Want to return product,Low,Open,2023-01-02 00:00:00,2023-01-07 00:00:00,Agent_Smith
58,1757,4641,Billing,,Medium,Open,2023-07-17 00:00:00,,Agent_Smith
59,456,5517,Product Defect,Wrong item received,Low,Closed,2023-12-23 00:00:00,2023-12-28 00:00:00,Agent_Smith
60,114,1131,Return,App crashing on checkout,High,Closed,2023-07-31 00:00:00,,Agent_Smith
61,364,3909,Technical,Want to return product,Unknown,Open,2024-05-21 00:00:00,2024-05-25 00:00:00,Unassigned
62,710,5515,Product Defect,App crashing on checkout,Medium,Closed,2023-03-01 00:00:00,,Agent_Smith
63,167,5803,Return,Wrong item received,High,In Progress,2024-12-19 00:00:00,2024-12-29 00:00:00,Agent_Smith
64,1137,7695,Delivery,,Medium,Unknown,2024-02-15 00:00:00,,Agent_Brown
65,2057,7716,Delivery,Charged twice for order,High,Closed,2023-09-06 00:00:00,,Unassigned
66,2195,4507,Billing,App crashing on checkout,High,Open,2023-12-04 00:00:00,2023-12-17 00:00:00,Unassigned
67,2957,2764,Delivery,App crashing on checkout,High,Open,2024-05-13 00:00:00,2024-05-15 00:00:00,Unassigned
68,2194,4141,Return,Want to return product,Medium,Resolved,2024-10-03 00:00:00,,Unassigned
69,661,7804,Account,Product arrived damaged,Medium,Resolved,2023-08-26 00:00:00,2023-09-06 00:00:00,Agent_Smith
70,1957,4433,Unknown,Cannot login to account,Medium,Closed,2024-04-17 00:00:00,2024-05-01 00:00:00,Unassigned
71,803,594,Billing,,High,Open,2023-05-23 00:00:00,2023-05-30 00:00:00,Agent_Smith
72,1790,5034,Account,Wrong item received,Unknown,Unknown,2024-11-29 00:00:00,2024-12-11 00:00:00,Unassigned
73,2406,5970,Delivery,Charged twice for order,Medium,Closed,2023-04-16 00:00:00,,Agent_Smith
74,2686,1372,Delivery,Cannot login to account,Medium,Open,2023-05-05 00:00:00,,Unassigned
75,2603,585,Billing,,Unknown,In Progress,2023-06-21 00:00:00,2023-06-21 00:00:00,Agent_Smith
76,1416,2714,Billing,Charged twice for order,Low,Closed,2023-02-05 00:00:00,2023-02-12 00:00:00,Unassigned
77,968,1008,Technical,Wrong item received,High,In Progress,2024-03-24 00:00:00,,Unassigned
78,1469,528,Delivery,App crashing on checkout,Low,Open,2024-03-04 00:00:00,2024-03-14 00:00:00,Agent_Smith
79,1735,6077,Billing,App crashing on checkout,High,In Progress,2024-06-22 00:00:00,,Unassigned
80,2253,4684,Technical,,High,Resolved,2023-07-21 00:00:00,2023-07-31 00:00:00,Unassigned
81,1536,6833,Product Defect,App crashing on checkout,Low,In Progress,2023-05-25 00:00:00,2023-06-06 00:00:00,Unassigned
82,1854,4236,Billing,Product arrived damaged,High,Closed,2024-10-25 00:00:00,2024-11-06 00:00:00,Agent_Smith
83,1019,7297,Account,,Low,Open,2023-06-01 00:00:00,,Agent_Jones
84,1883,4645,Technical,App crashing on checkout,Low,Open,2023-10-24 00:00:00,,Agent_Jones
85,1975,5403,Return,Cannot login to account,Medium,Closed,2023-10-06 00:00:00,2023-10-06 00:00:00,Agent_Smith
86,1870,5049,Billing,Product arrived damaged,Medium,Resolved,2024-01-25 00:00:00,2024-01-29 00:00:00,Unassigned
87,926,6060,Billing,Wrong item received,Low,In Progress,2024-03-17 00:00:00,2024-03-19 00:00:00,Unassigned
88,908,969,Account,Charged twice for order,Unknown,Unknown,2024-11-02 00:00:00,2024-11-02 00:00:00,Agent_Jones
89,81,7842,Delivery,Want to return product,Medium,In Progress,2023-08-13 00:00:00,2023-08-24 00:00:00,Agent_Smith
90,146,5367,Technical,App crashing on checkout,Medium,Open,2024-05-27 00:00:00,2024-06-06 00:00:00,Unassigned
91,2403,1712,Product Defect,Want to return product,Medium,In Progress,2023-06-29 00:00:00,2023-07-01 00:00:00,Agent_Jones
92,151,7784,Delivery,Want to return product,Medium,Open,2024-10-27 00:00:00,2024-11-05 00:00:00,Agent_Jones
93,420,964,Product Defect,,Medium,Resolved,2024-02-26 00:00:00,2024-03-11 00:00:00,Unassigned
94,543,2485,Product Defect,,Medium,In Progress,2024-10-08 00:00:00,2024-10-18 00:00:00,Agent_Smith
95,2053,364,Technical,Product arrived damaged,Low,Open,2023-11-02 00:00:00,,Unassigned
96,1281,975,Delivery,,Low,Open,2024-04-26 00:00:00,2024-05-02 00:00:00,Agent_Jones
97,919,4719,Billing,Product arrived damaged,Medium,Open,2023-12-16 00:00:00,,Agent_Smith
98,1201,2690,Product Defect,App crashing on checkout,Medium,Open,2024-07-11 00:00:00,2024-07-25 00:00:00,Unassigned
99,807,3877,Delivery,App crashing on checkout,Unknown,Resolved,2023-06-06 00:00:00,2023-06-10 00:00:00,Unassigned
100,2867,4044,Technical,,High,Resolved,2024-11-20 00:00:00,,Agent_Smith
101,2201,7975,Product Defect,Cannot login to account,High,Resolved,2024-02-20 00:00:00,2024-02-29 00:00:00,Agent_Smith
102,2002,7730,Billing,,High,Unknown,2023-07-05 00:00:00,2023-07-06 00:00:00,Agent_Brown
103,666,2781,Delivery,,Low,Open,2023-09-15 00:00:00,,Unassigned
104,2276,1170,Product Defect,Want to return product,Medium,Open,2023-10-19 00:00:00,,Agent_Jones
105,582,4593,Return,,High,Closed,2023-01-18 00:00:00,2023-01-26 00:00:00,Agent_Smith
106,2496,1878,Account,Cannot login to account,Unknown,Closed,2023-07-27 00:00:00,,Agent_Smith
107,605,4605,Billing,,Low,Closed,2024-09-23 00:00:00,2024-09-23 00:00:00,Unassigned
108,1094,546,Unknown,Product arrived damaged,Medium,Resolved,2024-10-03 00:00:00,,Unassigned
109,1214,5450,Delivery,Product arrived damaged,High,Open,2023-03-31 00:00:00,2023-04-08 00:00:00,Agent_Brown
110,159,375,Billing,,Medium,In Progress,2024-03-25 00:00:00,2024-03-30 00:00:00,Agent_Smith
111,1009,4285,Account,App crashing on checkout,Low,Closed,2023-08-11 00:00:00,2023-08-24 00:00:00,Unassigned
112,2695,5914,Technical,Cannot login to account,High,Open,2023-12-25 00:00:00,2024-01-01 00:00:00,Agent_Smith
113,2843,7250,Technical,App crashing on checkout,Low,In Progress,2023-05-07 00:00:00,2023-05-11 00:00:00,Agent_Brown
114,1631,3701,Billing,Wrong item received,Medium,Closed,2023-12-06 00:00:00,,Unassigned
115,2508,7201,Return,App crashing on checkout,Low,Resolved,2024-08-20 00:00:00,2024-08-29 00:00:00,Agent_Brown
116,966,2887,Billing,Charged twice for order,Low,Closed,2024-02-08 00:00:00,2024-02-18 00:00:00,Unassigned
117,1479,808,Product Defect,App crashing on checkout,Unknown,Open,2023-08-08 00:00:00,2023-08-16 00:00:00,Unassigned
118,806,233,Billing,Wrong item received,Low,Unknown,2024-02-05 00:00:00,2024-02-15 00:00:00,Agent_Smith
119,1895,2244,Account,Cannot login to account,Medium,Closed,2024-02-01 00:00:00,2024-02-04 00:00:00,Agent_Brown
120,2746,529,Unknown,Cannot login to account,Medium,Closed,2024-08-18 00:00:00,2024-08-22 00:00:00,Agent_Smith
121,976,6081,Unknown,Charged twice for order,Medium,In Progress,2023-05-12 00:00:00,2023-05-21 00:00:00,Unassigned
122,2665,788,Return,Charged twice for order,Unknown,Resolved,2024-02-24 00:00:00,,Agent_Smith
123,2167,7737,Technical,,Medium,Closed,2023-06-27 00:00:00,2023-06-30 00:00:00,Agent_Smith
124,1766,2308,Technical,,High,Open,2023-04-24 00:00:00,,Agent_Smith
125,2994,7813,Delivery,,Medium,Closed,2023-03-27 00:00:00,2023-04-08 00:00:00,Unassigned
